Div,Team,ELO,Goals scored,Goals conceded,Goals difference,Points,Change in ELO,Opposition mean ELO,Shots on target attempted,Shots on target allows,Shots attemped,Shots allowed,Corners awarded,Corners allowed,Fouls commited,Fouls suffered,Yellow cards,Red cards
I1,Juventus,1720.1387297133213,7.0,5.0,2.0,7,-12.599970034645366,1585.6996684623357,16.0,14.0,56.0,40.0,24.0,17.0,55.0,53.0,11.0,0.0
I1,Udinese,1545.8840838784467,5.0,9.0,-4.0,4,-11.175743758351246,1615.6462894259626,17.0,19.0,48.0,74.0,23.0,28.0,68.0,49.0,8.0,1.0
I1,Inter,1864.3414610859945,16.0,2.0,14.0,13,12.318458052569895,1569.2163567034183,31.0,10.0,75.0,35.0,27.0,14.0,56.0,51.0,10.0,0.0
I1,Monza,1492.0184046742568,4.0,7.0,-3.0,2,-13.784344053263567,1566.5037474127776,16.0,21.0,67.0,64.0,30.0,27.0,65.0,74.0,13.0,0.0
I1,Fiorentina,1715.968410115897,7.0,2.0,5.0,12,-15.327247364379218,1570.4793157947565,20.0,14.0,45.0,51.0,24.0,12.0,47.0,82.0,8.0,0.0
I1,Torino,1601.4110564867087,2.0,4.0,-2.0,5,17.472509279253472,1621.1042631283572,14.0,21.0,47.0,53.0,23.0,31.0,76.0,48.0,12.0,0.0
I1,Napoli,1726.352796817997,6.0,3.0,3.0,10,11.175743758351246,1664.9034331110638,15.0,12.0,64.0,38.0,32.0,15.0,53.0,65.0,4.0,0.0
I1,Roma,1587.979105870135,6.0,9.0,-3.0,3,-19.35822466588297,1628.3079428634726,17.0,21.0,55.0,68.0,21.0,22.0,64.0,74.0,10.0,0.0
I1,Venezia,1425.3855363861717,5.0,10.0,-5.0,2,12.599970034645366,1562.1192057372773,19.0,22.0,49.0,55.0,21.0,25.0,56.0,59.0,8.0,0.0
I1,Como,1502.6725720264762,6.0,6.0,0.0,6,19.35822466588297,1562.7164800530627,26.0,16.0,73.0,39.0,34.0,26.0,70.0,72.0,15.0,1.0
I1,Atalanta,1778.0269385533736,10.0,3.0,7.0,15,7.473780808405081,1567.3534454367943,27.0,20.0,73.0,43.0,25.0,11.0,55.0,64.0,11.0,0.0
SP1,Ath Bilbao,1678.8331230627673,8.0,3.0,5.0,13,-6.243464645593576,1621.5300565101575,20.0,14.0,54.0,40.0,23.0,12.0,79.0,56.0,10.0,0.0
SP1,Betis,1611.1612887225554,8.0,11.0,-3.0,5,20.929825051675834,1611.3865593390356,21.0,15.0,55.0,42.0,21.0,11.0,63.0,79.0,10.0,1.0
