,precision,recall,f1-score,support
-1,0.38181818181818183,0.6,0.4666666666666667,35.0
0,0.0,0.0,0.0,0.0
1,0.9537037037037037,0.5988372093023255,0.7357142857142858,172.0
accuracy,0.5990338164251208,0.5990338164251208,0.5990338164251208,0.5990338164251208
macro avg,0.4451739618406285,0.3996124031007751,0.40079365079365087,207.0
weighted avg,0.8570080840612242,0.5990338164251207,0.6902231423970555,207.0
