,precision,recall,f1-score,support
-1,0.7241379310344828,0.6363636363636364,0.6774193548387096,66.0
0,0.0,0.0,0.0,0.0
1,0.8725490196078431,0.689922480620155,0.7705627705627706,129.0
accuracy,0.6717948717948717,0.6717948717948717,0.6717948717948717,0.6717948717948717
macro avg,0.532228983547442,0.44209537232793045,0.4826607084671601,195.0
weighted avg,0.822317574244552,0.6717948717948717,0.7390373067792423,195.0
