Category,-1,0,1,Total,-1_inv,0_inv,1_inv,-1_%,0_%,1_%,Total_%
-3.0 to -2.75,0,0,0,0,0,0,0,0,0,0,0
-2.75 to -2.5,0,0,0,0,0,0,0,0,0,0,0
-2.5 to -2.25,0,0,1,1,0,0,1.0,0.0,0.0,100.0,100.0
-2.25 to -2.0,0,0,0,0,0,0,0,0,0,0,0
-2.0 to -1.75,4,0,3,7,1.75,0,2.3333333333333335,57.14285714285714,0.0,42.857142857142854,100.0
-1.75 to -1.5,5,2,0,7,1.4,3.5,0,71.42857142857143,28.57142857142857,0.0,100.0
-1.5 to -1.25,11,4,2,17,1.5454545454545454,4.25,8.5,64.70588235294117,23.52941176470588,11.76470588235294,100.0
-1.25 to -1.0,13,5,2,20,1.5384615384615385,4.0,10.0,65.0,25.0,10.0,100.0
-1.0 to -0.75,27,7,8,42,1.5555555555555556,6.0,5.25,64.28571428571429,16.666666666666664,19.047619047619047,100.0
-0.75 to -0.5,33,22,15,70,2.121212121212121,3.1818181818181817,4.666666666666667,47.14285714285714,31.428571428571427,21.428571428571427,100.0
-0.5 to -0.25,34,20,19,73,2.1470588235294117,3.65,3.8421052631578947,46.57534246575342,27.397260273972602,26.027397260273972,100.0
-0.25 to 0.0,41,28,37,106,2.5853658536585367,3.7857142857142856,2.864864864864865,38.67924528301887,26.41509433962264,34.90566037735849,100.0
0.0 to 0.25,56,38,55,149,2.6607142857142856,3.9210526315789473,2.709090909090909,37.58389261744966,25.503355704697988,36.91275167785235,100.0
0.25 to 0.5,63,50,63,176,2.7936507936507935,3.52,2.7936507936507935,35.79545454545455,28.40909090909091,35.79545454545455,100.0
0.5 to 0.75,45,41,79,165,3.6666666666666665,4.024390243902439,2.088607594936709,27.27272727272727,24.848484848484848,47.878787878787875,100.0
0.75 to 1.0,30,46,84,160,5.333333333333333,3.4782608695652173,1.9047619047619047,18.75,28.749999999999996,52.5,100.0
1.0 to 1.25,17,28,69,114,6.705882352941177,4.071428571428571,1.6521739130434783,14.912280701754385,24.561403508771928,60.526315789473685,100.0
1.25 to 1.5,15,20,84,119,7.933333333333334,5.95,1.4166666666666667,12.605042016806722,16.80672268907563,70.58823529411765,100.0
1.5 to 1.75,17,20,64,101,5.9411764705882355,5.05,1.578125,16.831683168316832,19.801980198019802,63.366336633663366,100.0
1.75 to 2.0,9,13,42,64,7.111111111111111,4.923076923076923,1.5238095238095237,14.0625,20.3125,65.625,100.0
2.0 to 2.25,5,5,31,41,8.2,8.2,1.3225806451612903,12.195121951219512,12.195121951219512,75.60975609756098,100.0
2.25 to 2.5,1,5,13,19,19.0,3.8,1.4615384615384615,5.263157894736842,26.31578947368421,68.42105263157895,100.0
2.5 to 2.75,1,0,15,16,16.0,0,1.0666666666666667,6.25,0.0,93.75,100.0
2.75 to 3.0,0,1,6,7,0,7.0,1.1666666666666667,0.0,14.285714285714285,85.71428571428571,100.0
3.0 to inf,0,0,4,4,0,0,1.0,0.0,0.0,100.0,100.0
inf to -inf,0,1,3,4,0,4.0,1.3333333333333333,0.0,25.0,75.0,100.0
