,precision,recall,f1-score,support
-1,0.2894736842105263,0.5238095238095238,0.3728813559322034,21.0
0,0.0,0.0,0.0,0.0
1,0.9572649572649573,0.6363636363636364,0.764505119453925,176.0
accuracy,0.6243654822335025,0.6243654822335025,0.6243654822335025,0.6243654822335025
macro avg,0.4155795471584945,0.38672438672438675,0.3791288251287095,197.0
weighted avg,0.8860790855180382,0.6243654822335025,0.7227584238500867,197.0
