,precision,recall,f1-score,support
-1,0.29411764705882354,1.0,0.45454545454545453,5.0
0,0.0,0.0,0.0,0.0
1,1.0,0.47619047619047616,0.6451612903225806,84.0
accuracy,0.5056179775280899,0.5056179775280899,0.5056179775280899,0.5056179775280899
macro avg,0.43137254901960786,0.4920634920634921,0.3665689149560117,89.0
weighted avg,0.9603436880370125,0.5056179775280899,0.634452535503641,89.0
