,precision,recall,f1-score,support
-1,0.609375,0.7358490566037735,0.6666666666666666,53.0
0,0.0,0.0,0.0,0.0
1,0.9763313609467456,0.7051282051282052,0.8188585607940446,234.0
accuracy,0.710801393728223,0.710801393728223,0.710801393728223,0.710801393728223
macro avg,0.5285687869822485,0.48032575391065957,0.49517507582023707,287.0
weighted avg,0.9085659005628518,0.710801393728223,0.7907534374882919,287.0
