,precision,recall,f1-score,support
-1,0.5487804878048781,0.625,0.5844155844155844,72.0
0,0.0,0.0,0.0,0.0
1,0.9567307692307693,0.7031802120141343,0.8105906313645621,283.0
accuracy,0.6873239436619718,0.6873239436619718,0.6873239436619718,0.6873239436619718
macro avg,0.5018370856785491,0.4427267373380448,0.46500207192671555,355.0
weighted avg,0.8739915572232645,0.6873239436619718,0.7647185091664597,355.0
