,precision,recall,f1-score,support
-1,0.11428571428571428,0.4,0.17777777777777778,10.0
0,0.0,0.0,0.0,0.0
1,0.9732142857142857,0.6022099447513812,0.7440273037542662,181.0
accuracy,0.5916230366492147,0.5916230366492147,0.5916230366492147,0.5916230366492147
macro avg,0.3625,0.33406998158379375,0.30726836051068135,191.0
weighted avg,0.9282442034405386,0.5916230366492147,0.7143807317136123,191.0
