,precision,recall,f1-score,support
-1,0.6407766990291263,0.6407766990291263,0.6407766990291263,103.0
0,0.0,0.0,0.0,0.0
1,0.9278846153846154,0.652027027027027,0.7658730158730159,296.0
accuracy,0.6491228070175439,0.6491228070175439,0.6491228070175439,0.6491228070175439
macro avg,0.5228871048045806,0.43093457535205104,0.46888323830071404,399.0
weighted avg,0.8537690379795644,0.6491228070175439,0.7335799817002825,399.0
