,precision,recall,f1-score,support
-1,0.5555555555555556,0.6382978723404256,0.594059405940594,94.0
0,0.0,0.0,0.0,0.0
1,0.9424460431654677,0.6986666666666667,0.8024502297090352,375.0
accuracy,0.6865671641791045,0.6865671641791045,0.6865671641791045,0.6865671641791045
macro avg,0.4993338662403411,0.44565484633569746,0.4655032118832098,469.0
weighted avg,0.8649029603609224,0.6865671641791045,0.7606831989324181,469.0
