Category,-1,0,1,Total,-1_inv,0_inv,1_inv,-1_%,0_%,1_%,Total_%
-3.0 to -2.75,0,0,0,0,0,0,0,0,0,0,0
-2.75 to -2.5,0,0,0,0,0,0,0,0,0,0,0
-2.5 to -2.25,0,0,0,0,0,0,0,0,0,0,0
-2.25 to -2.0,0,0,0,0,0,0,0,0,0,0,0
-2.0 to -1.75,0,0,0,0,0,0,0,0,0,0,0
-1.75 to -1.5,0,0,1,1,0,0,1.0,0.0,0.0,100.0,100.0
-1.5 to -1.25,0,0,0,0,0,0,0,0,0,0,0
-1.25 to -1.0,1,1,0,2,2.0,2.0,0,50.0,50.0,0.0,100.0
-1.0 to -0.75,3,2,2,7,2.3333333333333335,3.5,3.5,42.857142857142854,28.57142857142857,28.57142857142857,100.0
-0.75 to -0.5,14,3,5,22,1.5714285714285714,7.333333333333333,4.4,63.63636363636363,13.636363636363635,22.727272727272727,100.0
-0.5 to -0.25,23,18,14,55,2.391304347826087,3.0555555555555554,3.9285714285714284,41.81818181818181,32.72727272727273,25.454545454545453,100.0
-0.25 to 0.0,77,55,50,182,2.3636363636363638,3.309090909090909,3.64,42.30769230769231,30.21978021978022,27.472527472527474,100.0
0.0 to 0.25,135,76,123,334,2.474074074074074,4.394736842105263,2.7154471544715446,40.41916167664671,22.75449101796407,36.82634730538922,100.0
0.25 to 0.5,133,108,183,424,3.18796992481203,3.925925925925926,2.3169398907103824,31.367924528301888,25.471698113207548,43.160377358490564,100.0
0.5 to 0.75,125,113,208,446,3.568,3.9469026548672566,2.144230769230769,28.02690582959641,25.336322869955158,46.63677130044843,100.0
0.75 to 1.0,61,100,156,317,5.19672131147541,3.17,2.032051282051282,19.242902208201894,31.545741324921135,49.21135646687697,100.0
1.0 to 1.25,28,44,114,186,6.642857142857143,4.2272727272727275,1.631578947368421,15.053763440860216,23.655913978494624,61.29032258064516,100.0
1.25 to 1.5,21,27,60,108,5.142857142857143,4.0,1.8,19.444444444444446,25.0,55.55555555555556,100.0
1.5 to 1.75,3,7,27,37,12.333333333333334,5.285714285714286,1.3703703703703705,8.108108108108109,18.91891891891892,72.97297297297297,100.0
1.75 to 2.0,4,4,14,22,5.5,5.5,1.5714285714285714,18.181818181818183,18.181818181818183,63.63636363636363,100.0
2.0 to 2.25,2,2,5,9,4.5,4.5,1.8,22.22222222222222,22.22222222222222,55.55555555555556,100.0
2.25 to 2.5,1,1,3,5,5.0,5.0,1.6666666666666667,20.0,20.0,60.0,100.0
2.5 to 2.75,0,0,0,0,0,0,0,0,0,0,0
2.75 to 3.0,0,0,0,0,0,0,0,0,0,0,0
3.0 to inf,0,0,0,0,0,0,0,0,0,0,0
inf to -inf,0,0,0,0,0,0,0,0,0,0,0
