Category,-1,0,1,Total,-1_inv,0_inv,1_inv,-1_%,0_%,1_%,Total_%
-3.0 to -2.75,0,0,0,0,0,0,0,0,0,0,0
-2.75 to -2.5,0,0,0,0,0,0,0,0,0,0,0
-2.5 to -2.25,0,0,0,0,0,0,0,0,0,0,0
-2.25 to -2.0,0,0,0,0,0,0,0,0,0,0,0
-2.0 to -1.75,0,0,0,0,0,0,0,0,0,0,0
-1.75 to -1.5,0,0,0,0,0,0,0,0,0,0,0
-1.5 to -1.25,1,0,2,3,3.0,0,1.5,33.33333333333333,0.0,66.66666666666666,100.0
-1.25 to -1.0,1,2,1,4,4.0,2.0,4.0,25.0,50.0,25.0,100.0
-1.0 to -0.75,9,3,2,14,1.5555555555555556,4.666666666666667,7.0,64.28571428571429,21.428571428571427,14.285714285714285,100.0
-0.75 to -0.5,13,13,12,38,2.923076923076923,2.923076923076923,3.1666666666666665,34.21052631578947,34.21052631578947,31.57894736842105,100.0
-0.5 to -0.25,61,22,33,116,1.901639344262295,5.2727272727272725,3.515151515151515,52.58620689655172,18.96551724137931,28.448275862068968,100.0
-0.25 to 0.0,87,38,53,178,2.045977011494253,4.684210526315789,3.358490566037736,48.87640449438202,21.34831460674157,29.775280898876407,100.0
0.0 to 0.25,111,91,126,328,2.954954954954955,3.6043956043956045,2.6031746031746033,33.84146341463415,27.743902439024392,38.41463414634146,100.0
0.25 to 0.5,134,130,167,431,3.216417910447761,3.3153846153846156,2.5808383233532934,31.09048723897912,30.162412993039446,38.74709976798144,100.0
0.5 to 0.75,97,99,161,357,3.6804123711340204,3.606060606060606,2.217391304347826,27.170868347338935,27.73109243697479,45.09803921568628,100.0
0.75 to 1.0,61,68,149,278,4.557377049180328,4.088235294117647,1.8657718120805369,21.942446043165468,24.46043165467626,53.597122302158276,100.0
1.0 to 1.25,44,42,113,199,4.5227272727272725,4.738095238095238,1.761061946902655,22.110552763819097,21.105527638190953,56.78391959798995,100.0
1.25 to 1.5,15,21,72,108,7.2,5.142857142857143,1.5,13.88888888888889,19.444444444444446,66.66666666666666,100.0
1.5 to 1.75,8,10,25,43,5.375,4.3,1.72,18.6046511627907,23.25581395348837,58.139534883720934,100.0
1.75 to 2.0,1,4,10,15,15.0,3.75,1.5,6.666666666666667,26.666666666666668,66.66666666666666,100.0
2.0 to 2.25,2,0,4,6,3.0,0,1.5,33.33333333333333,0.0,66.66666666666666,100.0
2.25 to 2.5,1,2,1,4,4.0,2.0,4.0,25.0,50.0,25.0,100.0
2.5 to 2.75,0,0,0,0,0,0,0,0,0,0,0
2.75 to 3.0,0,0,0,0,0,0,0,0,0,0,0
3.0 to inf,0,0,0,0,0,0,0,0,0,0,0
inf to -inf,0,0,0,0,0,0,0,0,0,0,0
